OCID,Buyer,BuyerCountry,Importer,SupplierCountry,Exporter,Value,Currency
56878-2006,"ASSISTANCE PUBLIQUE - HOPITAUX DE MARSEILLE, DIRECTION DES EQUIPEMENTS ET
APPROVISIONNEMENTS MEDICAUX ET PHARMACEUTIQUES, DIVISION MARCHES",France,FR,France,FR,0,EUR
56878-2006,"ASSISTANCE PUBLIQUE - HOPITAUX DE MARSEILLE, DIRECTION DES EQUIPEMENTS ET
APPROVISIONNEMENTS MEDICAUX ET PHARMACEUTIQUES, DIVISION MARCHES",France,FR,France,FR,0,EUR
56880-2006,VSI KAUNO MEDICINOS UNIVERSITETO KLINIKOS,Lithuania,LT,,,1460,EUR
56887-2006,VSI KAUNO MEDICINOS UNIVERSITETO KLINIKOS,Lithuania,LT,,,922,EUR
56897-2006,SOUTHAMPTON CITY COUNCIL,United Kingdom,GB,United Kingdom,GB,631713,EUR
56898-2006,"CONSEIL GENERAL DE L'HERAULT, SERVICE DES MARCHES",France,FR,France,FR,0,EUR
56904-2006,UNIVERSITY OF SOUTHAMPTON,United Kingdom,GB,United Kingdom,GB,88146,EUR
56905-2006,VILLE DU LAMENTIN,France,FR,United States,,0,EUR
56909-2006,VSI KAUNO MEDICINOS UNIVERSITETO KLINIKOS,Lithuania,LT,Lithuania,LT,665,EUR
56920-2006,"KANSANELAEKELAITOS, ATK-KESKUS",Finland,FI,,,0,EUR
56924-2006,KOMENDA PORTU WOJENNEGO,Poland,PL,Poland,PL,99459,EUR
56934-2006,AP-HP - AGEPS,France,FR,,,0,EUR
56934-2006,AP-HP - AGEPS,France,FR,,,0,EUR
56934-2006,AP-HP - AGEPS,France,FR,,,0,EUR
56934-2006,AP-HP - AGEPS,France,FR,,,0,EUR
56934-2006,AP-HP - AGEPS,France,FR,,,0,EUR
56934-2006,AP-HP - AGEPS,France,FR,,,0,EUR
56934-2006,AP-HP - AGEPS,France,FR,,,0,EUR
56934-2006,AP-HP - AGEPS,France,FR,,,0,EUR
56934-2006,AP-HP - AGEPS,France,FR,,,0,EUR
56934-2006,AP-HP - AGEPS,France,FR,,,0,EUR
56934-2006,AP-HP - AGEPS,France,FR,,,0,EUR
56934-2006,AP-HP - AGEPS,France,FR,,,0,EUR
56934-2006,AP-HP - AGEPS,France,FR,,,0,EUR
56934-2006,AP-HP - AGEPS,France,FR,,,0,EUR
56934-2006,AP-HP - AGEPS,France,FR,,,0,EUR
56934-2006,AP-HP - AGEPS,France,FR,,,0,EUR
56934-2006,AP-HP - AGEPS,France,FR,,,0,EUR
56934-2006,AP-HP - AGEPS,France,FR,,,0,EUR
56934-2006,AP-HP - AGEPS,France,FR,,,0,EUR
56934-2006,AP-HP - AGEPS,France,FR,,,0,EUR
56934-2006,AP-HP - AGEPS,France,FR,,,0,EUR
56934-2006,AP-HP - AGEPS,France,FR,,,0,EUR
56934-2006,AP-HP - AGEPS,France,FR,,,0,EUR
56934-2006,AP-HP - AGEPS,France,FR,,,0,EUR
56936-2006,CCIM (CHAMBRE DE COMMERCE ET D'INDUSTRIE DE LA MARTINIQUE),France,FR,France,FR,0,EUR
56938-2006,SZPITAL UNIWERSYTECKI IM. DR. A. JURASZA W BYDGOSZCZY,Poland,PL,Poland,PL,2081633,EUR
56944-2006,"PANSTWOWE PRZEDSIEBIORSTWO UZYTECZNOSCI PUBLICZNEJ ""POCZTA POLSKA"" CENTRUM
INFRASTRUKTURY ODDZIAL REGIONALNY W POZNANIU",Poland,PL,Poland,PL,138491,EUR
56950-2006,"UNIVERSITAETSKLINIKUM LEIPZIG AOER, BEREICH 2, ABT.MATERIALWIRTSCHAFT",Germany,DE,Germany,DE,0,EUR
56951-2006,"GROUPEMENT REGIONAL MIXTE DES COMMANDES PUBLIQUES DES HOPITAUX ET
ETABLISSEMENTS PUBLICS DE LA REGION ALSACE",France,FR,France,FR,0,EUR
56951-2006,"GROUPEMENT REGIONAL MIXTE DES COMMANDES PUBLIQUES DES HOPITAUX ET
ETABLISSEMENTS PUBLICS DE LA REGION ALSACE",France,FR,France,FR,0,EUR
56951-2006,"GROUPEMENT REGIONAL MIXTE DES COMMANDES PUBLIQUES DES HOPITAUX ET
ETABLISSEMENTS PUBLICS DE LA REGION ALSACE",France,FR,France,FR,0,EUR
56951-2006,"GROUPEMENT REGIONAL MIXTE DES COMMANDES PUBLIQUES DES HOPITAUX ET
ETABLISSEMENTS PUBLICS DE LA REGION ALSACE",France,FR,France,FR,0,EUR
56951-2006,"GROUPEMENT REGIONAL MIXTE DES COMMANDES PUBLIQUES DES HOPITAUX ET
ETABLISSEMENTS PUBLICS DE LA REGION ALSACE",France,FR,France,FR,0,EUR
56951-2006,"GROUPEMENT REGIONAL MIXTE DES COMMANDES PUBLIQUES DES HOPITAUX ET
ETABLISSEMENTS PUBLICS DE LA REGION ALSACE",France,FR,France,FR,0,EUR
56951-2006,"GROUPEMENT REGIONAL MIXTE DES COMMANDES PUBLIQUES DES HOPITAUX ET
ETABLISSEMENTS PUBLICS DE LA REGION ALSACE",France,FR,France,FR,0,EUR
56951-2006,"GROUPEMENT REGIONAL MIXTE DES COMMANDES PUBLIQUES DES HOPITAUX ET
ETABLISSEMENTS PUBLICS DE LA REGION ALSACE",France,FR,France,FR,0,EUR
56951-2006,"GROUPEMENT REGIONAL MIXTE DES COMMANDES PUBLIQUES DES HOPITAUX ET
ETABLISSEMENTS PUBLICS DE LA REGION ALSACE",France,FR,France,FR,0,EUR
56951-2006,"GROUPEMENT REGIONAL MIXTE DES COMMANDES PUBLIQUES DES HOPITAUX ET
ETABLISSEMENTS PUBLICS DE LA REGION ALSACE",France,FR,France,FR,0,EUR
56951-2006,"GROUPEMENT REGIONAL MIXTE DES COMMANDES PUBLIQUES DES HOPITAUX ET
ETABLISSEMENTS PUBLICS DE LA REGION ALSACE",France,FR,,,0,EUR
56951-2006,"GROUPEMENT REGIONAL MIXTE DES COMMANDES PUBLIQUES DES HOPITAUX ET
ETABLISSEMENTS PUBLICS DE LA REGION ALSACE",France,FR,France,FR,0,EUR
56959-2006,CENTRE HOSPITALIER DE SAINT-NAZAIRE,France,FR,France,FR,151255,EUR
56959-2006,CENTRE HOSPITALIER DE SAINT-NAZAIRE,France,FR,France,FR,14720,EUR
56959-2006,CENTRE HOSPITALIER DE SAINT-NAZAIRE,France,FR,France,FR,6092,EUR
56959-2006,CENTRE HOSPITALIER DE SAINT-NAZAIRE,France,FR,France,FR,78516,EUR
56959-2006,CENTRE HOSPITALIER DE SAINT-NAZAIRE,France,FR,,,26980,EUR
56959-2006,CENTRE HOSPITALIER DE SAINT-NAZAIRE,France,FR,France,FR,14400,EUR
56959-2006,CENTRE HOSPITALIER DE SAINT-NAZAIRE,France,FR,France,FR,2400,EUR
56959-2006,CENTRE HOSPITALIER DE SAINT-NAZAIRE,France,FR,France,FR,4003,EUR
56962-2006,"MINISTERIE VAN DEFENSIE, STAF COMMANDO DIENSTENCENTRA, DEFENSIE VERKEERS-
EN VERVOERSORGANISATIE",Netherlands,NL,,,0,EUR
56969-2006,GEMEENTE WAGENINGEN,Netherlands,NL,Netherlands,NL,0,EUR
56970-2006,"UNIVERSITAETSKLINIKUM LEIPZIG AOER, BEREICH 2, ABT.MATERIALWIRTSCHAFT",Germany,DE,Germany,DE,0,EUR
56975-2006,D��PARTEMENT DE SEINE-ET-MARNE,France,FR,France,FR,0,EUR
56975-2006,D��PARTEMENT DE SEINE-ET-MARNE,France,FR,France,FR,0,EUR
56975-2006,D��PARTEMENT DE SEINE-ET-MARNE,France,FR,France,FR,0,EUR
56978-2006,D��PARTEMENT DU RH��NE,France,FR,France,FR,0,EUR
56981-2006,R��GION ALSACE,France,FR,France,FR,134700,EUR
56981-2006,R��GION ALSACE,France,FR,France,FR,70000,EUR
56981-2006,R��GION ALSACE,France,FR,France,FR,8326,EUR
56982-2006,MINISTERE DE LA DEFENSE - HOPITAL D'INSTRUCTION DES ARMEES BEGIN,France,FR,France,FR,447832,EUR
56982-2006,MINISTERE DE LA DEFENSE - HOPITAL D'INSTRUCTION DES ARMEES BEGIN,France,FR,France,FR,31600,EUR
56982-2006,MINISTERE DE LA DEFENSE - HOPITAL D'INSTRUCTION DES ARMEES BEGIN,France,FR,France,FR,5340,EUR
56986-2006,VILLE D'AUXERRE,France,FR,France,FR,0,EUR
56993-2006,"VILLE DE CANNES, BUREAU DES MARCHES PUBLICS, CANNES 2000, 2E ETAGE",France,FR,France,FR,0,EUR
56999-2006,EKONOMISTYRNINGSVERKET,Sweden,SE,Sweden,SE,0,EUR
56999-2006,EKONOMISTYRNINGSVERKET,Sweden,SE,Sweden,SE,0,EUR
56999-2006,EKONOMISTYRNINGSVERKET,Sweden,SE,Sweden,SE,0,EUR
56999-2006,EKONOMISTYRNINGSVERKET,Sweden,SE,Sweden,SE,0,EUR
56999-2006,EKONOMISTYRNINGSVERKET,Sweden,SE,Sweden,SE,0,EUR
56999-2006,EKONOMISTYRNINGSVERKET,Sweden,SE,Sweden,SE,0,EUR
56999-2006,EKONOMISTYRNINGSVERKET,Sweden,SE,Sweden,SE,0,EUR
56999-2006,EKONOMISTYRNINGSVERKET,Sweden,SE,Sweden,SE,0,EUR
56999-2006,EKONOMISTYRNINGSVERKET,Sweden,SE,Sweden,SE,0,EUR
56999-2006,EKONOMISTYRNINGSVERKET,Sweden,SE,Sweden,SE,0,EUR
57015-2006,AMMINISTRAZIONE PROVINCIALE DI LUCCA,Italy,IT,Italy,IT,271744,EUR
57016-2006,AMMINISTRAZIONE PROVINCIALE DI LUCCA,Italy,IT,Italy,IT,289287,EUR
57018-2006,CONSEIL G��N��RAL DE SEINE-ET-MARNE,France,FR,France,FR,0,EUR
57018-2006,CONSEIL G��N��RAL DE SEINE-ET-MARNE,France,FR,France,FR,0,EUR
57018-2006,CONSEIL G��N��RAL DE SEINE-ET-MARNE,France,FR,France,FR,0,EUR
57018-2006,CONSEIL G��N��RAL DE SEINE-ET-MARNE,France,FR,France,FR,0,EUR
57020-2006,"VILLE DE PARIS, DIRECTION DES SYSTEMES ET TECHNOLOGIES DE L'INFORMATION",France,FR,,,337408,EUR
57021-2006,VILLE DE SAINT-��TIENNE,France,FR,France,FR,0,EUR
57049-2006,SIVOM DU VAL D'AMBIN TERMIGNON,France,FR,France,FR,179350,EUR
57050-2006,GMINA WROCLAW DZIALAJACA PRZEZ ZARZAD GOSPODARKI ODPADAMI,Poland,PL,Poland,PL,460097,EUR
57063-2006,"KANSANELAEKELAITOS, ATK-KESKUS",Finland,FI,Finland,FI,0,EUR
57066-2006,BANQUE DE FRANCE (57210489100013),France,FR,France,FR,105637,EUR
57072-2006,DEPARTEMENT DU VAL-DE-MARNE - DIRECTION DES BATIMENTS DEPARTEMENTAUX,France,FR,France,FR,0,EUR
57072-2006,DEPARTEMENT DU VAL-DE-MARNE - DIRECTION DES BATIMENTS DEPARTEMENTAUX,France,FR,France,FR,0,EUR
57074-2006,VILLE DE PARIS,France,FR,France,FR,645776,EUR
57077-2006,"CONSEIL GENERAL DE L'HERAULT, SERVICE DES MARCHES",France,FR,France,FR,0,EUR
57083-2006,CENTRAAL ORGAAN OPVANG ASIELZOEKERS,Netherlands,NL,Netherlands,NL,0,EUR
57086-2006,"CAISSE NATIONALE D'ASSURANCE VIEILLESSE DES TRAVAILLEURS SALARIES
DIRECTION DES INFRASTRUCTURES",France,FR,France,FR,118720,EUR
57094-2006,URZ��D MIEJSKI W JAWORZNIE,Poland,PL,Poland,PL,323337,EUR
57102-2006,"METROPOLITANO DE LISBOA, E.P.",Portugal,PT,Portugal,PT,2490189,EUR
57116-2006,RIKISKAUP (THE STATE TRADING CENTRE),Iceland,IS,Iceland,IS,205062,EUR
57119-2006,"UNIVERSITY OF OSLO, TECHNICAL DEPARTEMENT",Norway,NO,Norway,NO,0,EUR
57769-2006,DEPARTMENT FOR INTERNATIONAL DEVELOPMENT (DFID) INDIA,India,IN,United Kingdom,GB,0,EUR
57902-2006,COMMUNAUT�� URBAINE MARSEILLE PROVENCE M��TROPOLE,France,FR,France,FR,0,EUR
57902-2006,COMMUNAUT�� URBAINE MARSEILLE PROVENCE M��TROPOLE,France,FR,France,FR,0,EUR
57914-2006,TGZ HALLE GMBH,Germany,DE,Germany,DE,0,EUR
57922-2006,"PANSTWOWE PRZEDSIEBIORSTWO UZYTECZNOSCI PUBLICZNEJ ""POCZTA POLSKA"" CENTRUM
INFRASTRUKTURY ODDZIAL REGIONALNY W POZNANIU",Poland,PL,Poland,PL,164942,EUR
57935-2006,ARISTOTELEIO PANEPISTIMIO THESSALONIKIS,Greece,GR,Greece,GR,2285,EUR
57946-2006,"SAMODZIELNY PUBLICZNY ZESP���� ZAK��AD��W LECZNICTWA OTWARTEGO
WARSZAWA-��OLIBORZ",Poland,PL,Poland,PL,12417,EUR
57957-2006,ARISTOTELEIO PANEPISTIMIO THESSALONIKIS,Greece,GR,Greece,GR,120025,EUR
57978-2006,VSI KLAIPEDOS LIGONINE,Lithuania,LT,Lithuania,LT,2960,EUR
57987-2006,CONSEIL G��N��RAL DE LA LOIRE,France,FR,,,242744,EUR
57987-2006,CONSEIL G��N��RAL DE LA LOIRE,France,FR,,,120748,EUR
57987-2006,CONSEIL G��N��RAL DE LA LOIRE,France,FR,France,FR,47397,EUR
57987-2006,CONSEIL G��N��RAL DE LA LOIRE,France,FR,France,FR,95800,EUR
57987-2006,CONSEIL G��N��RAL DE LA LOIRE,France,FR,France,FR,17964,EUR
57987-2006,CONSEIL G��N��RAL DE LA LOIRE,France,FR,France,FR,12548,EUR
57987-2006,CONSEIL G��N��RAL DE LA LOIRE,France,FR,France,FR,87009,EUR
57996-2006,ASSISTANCE PUBLIQUE H��PITAUX DE MARSEILLE,France,FR,,,0,EUR
58051-2006,MINISTERO DELL'ECONOMIA E DELLE FINANZE,Italy,IT,Italy,IT,129240,EUR
58055-2006,"THE SCOTTISH EXECUTIVE ON BEHALF OF THE SCOTTISH MINISTERS, SCOTTISH
PROCUREMENT DIRECTORATE",United Kingdom,GB,United Kingdom,GB,0,EUR
58067-2006,AZIENDA U.S.L. N. 1 IMPERIESE,Italy,IT,Italy,IT,0,EUR
58072-2006,COMMUNAUT�� DE COMMUNES DES AVALOIRS,France,FR,France,FR,265000,EUR
58074-2006,COMUNE DI CIVITELLA IN VAL DI CHIANA,Italy,IT,Italy,IT,0,EUR
58091-2006,AZIENDA OSPEDALIERA UNIVERSITARIA S. MARTINO DI GENOVA,Italy,IT,Italy,IT,0,EUR
58105-2006,AZIENDA SANITARIA LOCALE N. 15,Italy,IT,Italy,IT,2326968,EUR
58106-2006,COMMUNAUT�� URBAINE MARSEILLE PROVENCE M��TROPOLE,France,FR,,,395000,EUR
58114-2006,JUNTA DE EXTREMADURA. CONSEJERIA DE AGRICULTURA Y MEDIO AMBIENTE,Spain,ES,Spain,ES,0,EUR
58119-2006,AZIENDA U.S.L. N. 1 IMPERIESE,Italy,IT,,,410344,EUR
58124-2006,IT-DIENSTLEISTUNGSZENTRUM BERLIN,Germany,DE,Germany,DE,0,EUR
58137-2006,DEPARTMENT OF AGRICULTURE AND FOOD,Ireland,IE,,,506022,EUR
58141-2006,CENTRAAL ORGAAN OPVANG ASIELZOEKERS,Netherlands,NL,Netherlands,NL,150000,EUR
58146-2006,NAHVERKEHR WERRA-MEISSNER GMBH (NWM),Germany,DE,Germany,DE,0,EUR
58148-2006,��IAULI�� MIESTO SAVIVALDYB��S ADMINISTRACIJA (188771865),Lithuania,LT,Lithuania,LT,45888,EUR
58149-2006,��IAULI�� MIESTO SAVIVALDYB��S ADMINISTRACIJA (188771865),Lithuania,LT,Lithuania,LT,29510,EUR
58152-2006,"VALSTYBES IMONE ""INFOSTRUKTURA""",Lithuania,LT,,,1886278,EUR
58168-2006,TRENITALIA SPA,Italy,IT,Italy,IT,363434,EUR
58171-2006,"FREIE UND HANSESTADT HAMBURG BEHOERDE FUER WIRTSCHAFT UND ARBEIT HAMBURG
PORT AUTHORITY",Germany,DE,Germany,DE,0,EUR
58172-2006,"FREIE UND HANSESTADT HAMBURG BEHOERDE FUER WIRTSCHAFT UND ARBEIT HAMBURG
PORT AUTHORITY",Germany,DE,Germany,DE,0,EUR
58174-2006,TRENITALIA SPA,Italy,IT,,,1552166,EUR
58176-2006,TRENITALIA SPA,Italy,IT,,,1151500,EUR
58177-2006,PRORAIL BV,Netherlands,NL,Netherlands,NL,0,EUR
58186-2006,HALDEN KOMMUNE,Norway,NO,Norway,NO,524580,EUR
58957-2006,CARL-THIEM-KLINIKUM COTTBUS GGMBH,Germany,DE,Germany,DE,14686,EUR
58964-2006,CARL-THIEM-KLINIKUM COTTBUS GGMBH,Germany,DE,Germany,DE,139075,EUR
58981-2006,"CONSEIL GENERAL DE VAUCLUSE, SERVICE CENTRAL DES MARCHES",France,FR,France,FR,0,EUR
58981-2006,"CONSEIL GENERAL DE VAUCLUSE, SERVICE CENTRAL DES MARCHES",France,FR,France,FR,0,EUR
58981-2006,"CONSEIL GENERAL DE VAUCLUSE, SERVICE CENTRAL DES MARCHES",France,FR,France,FR,0,EUR
58981-2006,"CONSEIL GENERAL DE VAUCLUSE, SERVICE CENTRAL DES MARCHES",France,FR,France,FR,0,EUR
58981-2006,"CONSEIL GENERAL DE VAUCLUSE, SERVICE CENTRAL DES MARCHES",France,FR,France,FR,0,EUR
58981-2006,"CONSEIL GENERAL DE VAUCLUSE, SERVICE CENTRAL DES MARCHES",France,FR,France,FR,0,EUR
58991-2006,BROMSGROVE DISTRICT COUNCIL,United Kingdom,GB,United Kingdom,GB,0,EUR
59004-2006,"DAS LAND HESSEN, VERTRETEN DURCH DIE HESSISCHE ZENTRALE FUER
DATENVERARBEITUNG",Germany,DE,Germany,DE,2000000,EUR
59005-2006,HOOGHEEMRAADSCHAP VAN DELFLAND,Netherlands,NL,,,0,EUR
59013-2006,INTERGEMEENTELIJK SAMENWERKINGSVERBAND VERKO,Belgium,BE,Belgium,BE,253000,EUR
59014-2006,SPECJALISTYCZNY SZPITAL ��W. JANA,Poland,PL,Poland,PL,32297,EUR
59021-2006,HOSPITAL CURRY CABRAL,Portugal,PT,Portugal,PT,121951,EUR
59024-2006,"SZPITAL SPECJALISTYCZNY SW. WOJCIECHA ADALBERTA SAMODZIELNY PUBLICZNY
ZAKLAD OPIEKI ZDROWOTNEJ",Poland,PL,Poland,PL,217980,EUR
59026-2006,CENTRE HOSPITALIER UNIVERSITAIRE DE NANTES,France,FR,,,306000,EUR
59026-2006,CENTRE HOSPITALIER UNIVERSITAIRE DE NANTES,France,FR,,,15400,EUR
59026-2006,CENTRE HOSPITALIER UNIVERSITAIRE DE NANTES,France,FR,,,110400,EUR
59026-2006,CENTRE HOSPITALIER UNIVERSITAIRE DE NANTES,France,FR,,,163200,EUR
59026-2006,CENTRE HOSPITALIER UNIVERSITAIRE DE NANTES,France,FR,,,287680,EUR
59026-2006,CENTRE HOSPITALIER UNIVERSITAIRE DE NANTES,France,FR,,,147200,EUR
59037-2006,ZAK��AD ZAM��WIE�� PUBLICZNYCH PRZY MINISTRZE ZDROWIA,Poland,PL,Poland,PL,4353461,EUR
59038-2006,BIOGEM S.C. A R.L.,Italy,IT,Italy,IT,0,EUR
59042-2006,SDIS CHARENTE,France,FR,France,FR,88654,EUR
59042-2006,SDIS CHARENTE,France,FR,France,FR,89008,EUR
59042-2006,SDIS CHARENTE,France,FR,France,FR,63213,EUR
59042-2006,SDIS CHARENTE,France,FR,France,FR,23254,EUR
59042-2006,SDIS CHARENTE,France,FR,France,FR,20247,EUR
59042-2006,SDIS CHARENTE,France,FR,France,FR,24749,EUR
59042-2006,SDIS CHARENTE,France,FR,France,FR,28653,EUR
59053-2006,BESCHAFFUNGSAMT DES BUNDESMINISTERIUMS DES INNERN,Germany,DE,Germany,DE,500000,EUR
59079-2006,NADLESNICTWO LIPINKI,Poland,PL,Poland,PL,28661,EUR
59090-2006,"DEPARTMENT OF TRADE AND INDUSTRY (INTERNATIONAL NUCLEAR POLICY AND
PROGRAMMES)",United Kingdom,GB,United Kingdom,GB,1072913,EUR
59096-2006,SDIS CHARENTE,France,FR,France,FR,39696,EUR
59096-2006,SDIS CHARENTE,France,FR,France,FR,28704,EUR
59096-2006,SDIS CHARENTE,France,FR,France,FR,6993,EUR
