from,default-currency_for_amounts,total_commitments,total_disbursements,total_reimbursements,total_expenditure,start-planned_iso-date,start-planned,Start-actual-year,start-actual,end-planned_iso-date,end-planned,end-actual_iso-date,end-actual,implementing-organisations,recipient-country_codes,recipient-countries,activity-status,collaboration-type,default-aid-type
GB,GBP,2386,0,0,0,2003-09-01,2003-09-01,2003,2003-09-01,2009-12-31,2009-12-31,2009-12-31,2009-12-31,Other.,BD,Bangladesh,Post-completion,Bilateral,Project-type interventions
GB,GBP,20000000,0,0,20000000,2003-09-01,2003-09-01,2003,2003-09-01,2009-12-31,2009-12-31,2009-12-31,2009-12-31,International Bank for Reconstruction and Development,BD,Bangladesh,Post-completion,Bilateral,Project-type interventions
GB,GBP,1607338,0,0,1607332,2003-09-01,2003-09-01,2003,2003-09-01,2009-12-31,2009-12-31,2009-12-31,2009-12-31,NON-GOVERNMENTAL ORGANISATIONS (NGOs) AND CIVIL SOCIETY,BD,Bangladesh,Post-completion,"Bilateral, core contributions to NGOs and other private bodies / PPPs",Project-type interventions
GB,GBP,1058715,0,0,1058714,2004-07-26,2004-07-26,2004,2004-07-26,2009-12-31,2009-12-31,2009-12-31,2009-12-31,Developing country-based NGO,BD,Bangladesh,Post-completion,"Bilateral, core contributions to NGOs and other private bodies / PPPs",Project-type interventions
GB,GBP,6321489,0,0,6321479,2006-02-01,2006-02-01,2006,2006-02-01,2011-03-31,2011-03-31,2011-03-31,2011-03-31,Other.,BD,Bangladesh,Post-completion,Bilateral,Project-type interventions
GB,GBP,922867,0,0,922861,2006-02-01,2006-02-01,2006,2006-02-01,2011-03-31,2011-03-31,2011-03-31,2011-03-31,Other.,BD,Bangladesh,Post-completion,Bilateral,Project-type interventions
GB,GBP,1842000,450000,0,1392000,2006-02-01,2006-02-01,2006,2006-02-01,2011-03-31,2011-03-31,2011-03-31,2011-03-31,NON-GOVERNMENTAL ORGANISATIONS (NGOs) AND CIVIL SOCIETY,BD,Bangladesh,Post-completion,"Bilateral, core contributions to NGOs and other private bodies / PPPs",Project-type interventions
GB,GBP,3046526,0,0,3046524,2006-02-01,2006-02-01,2006,2006-02-01,2011-03-31,2011-03-31,2011-03-31,2011-03-31,Other.,BD,Bangladesh,Post-completion,Bilateral,Project-type interventions
GB,GBP,18987551,0,0,18975894,2002-07-01,2002-07-01,2002,2002-07-01,2009-09-30,2009-09-30,2009-09-30,2009-09-30,Other.,BD,Bangladesh,Post-completion,Bilateral,Project-type interventions
GB,GBP,2848833,0,0,2848819,2002-07-01,2002-07-01,2002,2002-07-01,2009-09-30,2009-09-30,2009-09-30,2009-09-30,Other.,BD,Bangladesh,Post-completion,Bilateral,Project-type interventions
GB,GBP,185852,0,0,185846,2003-01-01,2003-01-01,2003,2003-01-01,2009-12-31,2009-12-31,2009-12-31,2009-12-31,Other.,BD,Bangladesh,Post-completion,Bilateral,Project-type interventions
GB,GBP,2745170,0,0,2745162,2003-01-01,2003-01-01,2003,2003-01-01,2009-12-31,2009-12-31,2009-12-31,2009-12-31,Developing country-based NGO,BD,Bangladesh,Post-completion,"Bilateral, core contributions to NGOs and other private bodies / PPPs",Project-type interventions
GB,GBP,384316,0,0,384316,2003-01-01,2003-01-01,2003,2003-01-01,2009-12-31,2009-12-31,2009-12-31,2009-12-31,Developing country-based NGO,BD,Bangladesh,Post-completion,"Bilateral, core contributions to NGOs and other private bodies / PPPs",Project-type interventions
GB,GBP,14931347,0,0,14044278,2004-01-01,2004-01-01,2004,2004-01-01,2013-01-31,2013-01-31,2013-01-31,2013-01-31,Other.,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,163652,0,0,20600,2004-01-01,2004-01-01,2004,2004-01-01,2013-01-31,2013-01-31,2013-01-31,2013-01-31,Other.,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,110000,0,0,17397,2012-04-26,2012-04-26,2012,2012-04-26,2013-08-31,2013-08-31,2013-08-31,2013-08-31,Other.,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,5475000,1675000,0,3800000,2005-08-01,2005-08-01,2005,2005-08-01,2014-06-30,2014-06-30,2014-06-30,2014-06-30,International Bank for Reconstruction and Development,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,25000,0,0,13932,2012-04-26,2012-04-26,2012,2012-04-26,2014-06-30,2014-06-30,2014-06-30,2014-06-30,Other.,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,2532557,0,0,2532557,2006-09-01,2006-09-01,2006,2006-09-01,2010-01-31,2010-01-31,2010-01-31,2010-01-31,Donor country-based NGO,BD,Bangladesh,Post-completion,"Bilateral, core contributions to NGOs and other private bodies / PPPs",Project-type interventions
GB,GBP,2826638,0,0,2826638,2006-09-29,2006-09-29,2006,2006-09-29,2010-01-31,2010-01-31,2010-01-31,2010-01-31,Donor country-based NGO,BD,Bangladesh,Post-completion,"Bilateral, core contributions to NGOs and other private bodies / PPPs",Project-type interventions
GB,GBP,59826,0,0,59826,2006-09-01,2006-09-01,2006,2006-09-01,2010-01-31,2010-01-31,2010-01-31,2010-01-31,Other.,BD,Bangladesh,Post-completion,Bilateral,Project-type interventions
GB,GBP,123848,0,0,122761,2009-10-01,2009-10-01,2009,2009-10-01,2014-09-30,2014-09-30,,,Other.,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,26800000,20170000,0,4300000,2009-10-01,2009-10-01,2009,2009-10-01,2015-04-30,2015-04-30,,,International Bank for Reconstruction and Development,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,526151,0,0,98936,2009-10-01,2009-10-01,2009,2009-10-01,2014-09-30,2014-09-30,,,Other.,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,2700000,2530000,0,0,2009-10-01,2009-10-01,2009,2009-10-01,2015-04-30,2015-04-30,,,Other.,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,14600000,0,0,14600000,2007-08-01,2007-08-01,2007,2007-08-01,2011-06-30,2011-06-30,2011-06-30,2011-06-30,United Nations Development Programme,BD,Bangladesh,Post-completion,Bilateral,Project-type interventions
GB,GBP,78809,0,0,78806,2008-01-01,2008-01-01,2008,2008-01-01,2012-12-30,2012-12-30,2012-12-30,2012-12-30,Other.,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,3000000,1755000,0,0,2010-11-01,2010-11-01,2010,2010-11-01,2015-06-30,2015-06-30,,,United Nations Development Programme,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,9940001,8070000,0,0,2009-10-01,2009-10-01,2009,2009-10-01,2015-09-30,2015-09-30,,,United Nations Development Programme,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,4930000,0,0,2522566,2012-02-01,2012-02-01,2012,2012-02-01,2017-09-30,2017-09-30,,,Other.,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,50000,0,0,0,2008-01-01,2008-01-01,2008,2008-01-01,2015-04-30,2015-04-30,,,,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,501187,0,0,5194,2010-04-01,2010-04-01,2010,2010-04-01,2015-04-30,2015-04-30,,,Other.,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,12000000,2459663,0,0,2010-04-01,2010-04-01,2010,2010-04-01,2017-09-30,2017-09-30,,,Other.,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,3060000,2830000,0,0,2010-11-01,2010-11-01,2010,2010-11-01,2015-09-30,2015-09-30,,,United Nations Development Programme,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,70000,0,0,63699,2012-05-29,2012-05-29,2012,2012-05-29,2013-03-31,2013-03-31,2013-03-31,2013-03-31,Other.,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,51100000,41700000,0,9385000,2006-04-01,2006-04-01,2006,2006-04-01,2015-03-31,2015-03-31,,,United Nations Development Programme,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,12000000,12000000,0,0,2006-04-01,2006-04-01,2006,2006-04-01,2015-03-31,2015-03-31,,,United Nations Development Programme,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,3062000,2425000,0,0,2006-04-01,2006-04-01,2006,2006-04-01,2015-03-31,2015-03-31,,,United Nations Development Programme,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,1616534,0,0,515855,2012-04-25,2012-04-25,2012,2012-04-25,2015-03-31,2015-03-31,,,Other.,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,192925,0,0,73493,2012-04-25,2012-04-25,2012,2012-04-25,2015-03-31,2015-03-31,,,Other.,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,698534,0,0,629874,2004-01-01,2004-01-01,2004,2004-01-01,2011-06-30,2011-06-30,2011-06-30,2011-06-30,Other.,BD,Bangladesh,Post-completion,Bilateral,Project-type interventions
GB,GBP,55798884,2929913,0,52868966,2004-01-01,2004-01-01,2004,2004-01-01,2011-06-30,2011-06-30,2011-06-30,2011-06-30,Other.,BD,Bangladesh,Post-completion,Bilateral,Project-type interventions
GB,GBP,6194871,4394871,0,1800000,2004-01-01,2004-01-01,2004,2004-01-01,2011-06-30,2011-06-30,2011-06-30,2011-06-30,Asian Development Bank,BD,Bangladesh,Post-completion,Bilateral,Project-type interventions
GB,GBP,47787273,0,0,40688116,2006-09-01,2006-09-01,2006,2006-09-01,2016-12-31,2016-12-31,,,Other.,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,2166000,0,0,1856303,2006-09-01,2006-09-01,2006,2006-09-01,2016-12-31,2016-12-31,,,Other.,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,137922,0,0,101691,2006-09-01,2006-09-01,2006,2006-09-01,2016-12-31,2016-12-31,,,Other.,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,363036,0,0,259390,2005-07-01,2005-07-01,2005,2005-07-01,2012-06-30,2012-06-30,2012-06-30,2012-06-30,Other.,BD,Bangladesh,Post-completion,Bilateral,Project-type interventions
GB,GBP,11236005,3325130,0,7910874,2005-07-01,2005-07-01,2005,2005-07-01,2012-06-30,2012-06-30,2012-06-30,2012-06-30,Asian Development Bank,BD,Bangladesh,Post-completion,Bilateral,Project-type interventions
GB,GBP,250000,250000,0,0,2011-11-01,2011-11-01,2011,2011-11-01,2012-06-30,2012-06-30,2012-06-30,2012-06-30,Centre for Health and Population Research,BD,Bangladesh,Post-completion,Bilateral,Project-type interventions
GB,GBP,294653,0,0,294653,2006-04-01,2006-04-01,2006,2006-04-01,2010-03-31,2010-03-31,2010-03-31,2010-03-31,Donor country-based NGO,BD,Bangladesh,Post-completion,"Bilateral, core contributions to NGOs and other private bodies / PPPs",Project-type interventions
GB,GBP,54747,0,0,54747,2006-04-01,2006-04-01,2006,2006-04-01,2010-03-01,2010-03-01,2010-03-01,2010-03-01,Donor country-based NGO,BD,Bangladesh,Post-completion,"Bilateral, core contributions to NGOs and other private bodies / PPPs",Project-type interventions
GB,GBP,312454,0,0,312454,2006-04-01,2006-04-01,2006,2006-04-01,2009-03-31,2009-03-31,2009-03-31,2009-03-31,Donor country-based NGO,BD,Bangladesh,Post-completion,"Bilateral, core contributions to NGOs and other private bodies / PPPs",Project-type interventions
GB,GBP,56034,0,0,56034,2006-04-01,2006-04-01,2006,2006-04-01,2010-03-31,2010-03-31,2010-03-31,2010-03-31,Donor country-based NGO,BD,Bangladesh,Post-completion,"Bilateral, core contributions to NGOs and other private bodies / PPPs",Project-type interventions
GB,GBP,86155,0,0,86149,2010-02-01,2010-02-01,2010,2010-02-01,2013-06-30,2013-06-30,2013-06-30,2013-06-30,Other.,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,5828582,0,0,3762837,2010-10-18,2010-10-18,2010,2010-10-18,2016-06-30,2016-06-30,,,Other.,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,470262,0,0,274631,2010-10-18,2010-10-18,2010,2010-10-18,2016-06-30,2016-06-30,,,Other.,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,705000,0,0,188438,2010-10-18,2010-10-18,2010,2010-10-18,2015-10-30,2015-10-30,,,Other.,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,3540601,0,0,457389,2007-08-01,2007-08-01,2007,2007-08-01,2013-03-31,2013-03-31,2013-03-31,2013-03-31,Other.,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,95713,0,0,95713,2007-08-01,2007-08-01,2007,2007-08-01,2012-03-01,2012-03-01,2012-03-01,2012-03-01,Donor country-based NGO,BD,Bangladesh,Implementation,"Bilateral, core contributions to NGOs and other private bodies / PPPs",Project-type interventions
GB,GBP,29705,0,0,29705,2007-08-01,2007-08-01,2007,2007-08-01,2012-03-01,2012-03-01,2012-03-01,2012-03-01,NON-GOVERNMENTAL ORGANISATIONS (NGOs) AND CIVIL SOCIETY,BD,Bangladesh,Implementation,"Bilateral, core contributions to NGOs and other private bodies / PPPs",Project-type interventions
GB,GBP,30628,0,0,30628,2007-11-15,2007-11-15,2007,2007-11-15,2009-02-28,2009-02-28,2009-02-28,2009-02-28,Recipient Government,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,81274,0,0,81273,2008-04-01,2008-04-01,2008,2008-04-01,2010-03-31,2010-03-31,2010-03-31,2010-03-31,Other.,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,125035,0,0,125034,2008-05-25,2008-05-25,2008,2008-05-25,2009-06-30,2009-06-30,2009-06-30,2009-06-30,Other.,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,55103,0,0,55102,2009-01-01,2009-01-01,2009,2009-01-01,2009-12-30,2009-12-30,2009-12-30,2009-12-30,NON-GOVERNMENTAL ORGANISATIONS (NGOs) AND CIVIL SOCIETY,BD,Bangladesh,Implementation,"Bilateral, core contributions to NGOs and other private bodies / PPPs",Development awareness
GB,GBP,19162,0,0,19162,2009-03-15,2009-03-15,2009,2009-03-15,2009-04-30,2009-04-30,2009-04-30,2009-04-30,Other.,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,138152,49060,0,89092,2009-05-15,2009-05-15,2009,2009-05-15,2010-05-15,2010-05-15,2010-05-15,2010-05-15,NON-GOVERNMENTAL ORGANISATIONS (NGOs) AND CIVIL SOCIETY,BD,Bangladesh,Implementation,"Bilateral, core contributions to NGOs and other private bodies / PPPs",Project-type interventions
GB,GBP,82137,0,0,82135,2009-08-16,2009-08-16,2009,2009-08-16,2010-09-30,2010-09-30,2010-09-30,2010-09-30,NON-GOVERNMENTAL ORGANISATIONS (NGOs) AND CIVIL SOCIETY,BD,Bangladesh,Implementation,"Bilateral, core contributions to NGOs and other private bodies / PPPs",Development awareness
GB,GBP,110972,100379,0,10593,2009-06-15,2009-06-15,2009,2009-06-15,2010-09-30,2010-09-30,2010-09-30,2010-09-30,INTERNATIONAL NGO,BD,Bangladesh,Implementation,"Bilateral, core contributions to NGOs and other private bodies / PPPs",Project-type interventions
GB,GBP,18606,0,0,18606,2010-04-18,2010-04-18,2010,2010-04-18,2010-06-30,2010-06-30,2010-06-30,2010-06-30,"University, college or other teaching institution, research institute or think-tank",BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,7766,0,0,7766,2010-10-20,2010-10-20,2010,2010-10-20,2011-09-30,2011-09-30,2011-09-30,2011-09-30,Donor country-based NGO,BD,Bangladesh,Implementation,"Bilateral, core contributions to NGOs and other private bodies / PPPs",Project-type interventions
GB,GBP,116766,0,0,116764,2011-09-01,2011-09-01,2011,2011-09-01,2012-08-31,2012-08-31,2012-08-31,2012-08-31,Other.,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,4197,3480,0,716,2011-09-13,2011-09-13,2011,2011-09-13,2011-09-30,2011-09-30,2011-09-30,2011-09-30,Other.,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,50000,50000,0,0,2011-11-01,2011-11-01,2011,2011-11-01,2013-03-31,2013-03-31,2013-03-31,2013-03-31,Centre for Health and Population Research,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,200000,0,0,0,2014-08-01,2014-08-01,2014,2014-08-01,2015-07-31,2015-07-31,,,,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,55051,0,0,69542,2012-06-01,2012-06-01,2012,2012-06-01,2013-03-31,2013-03-31,2013-03-31,2013-03-31,"University, college or other teaching institution, research institute or think-tank",BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,25063,0,0,25063,2012-06-01,2012-06-01,2012,2012-06-01,2013-03-31,2013-03-31,2013-03-31,2013-03-31,Other.,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,102460,102458,0,0,2012-05-01,2012-05-01,2012,2012-05-01,2013-08-31,2013-08-31,2013-08-31,2013-08-31,Other.,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,61600,0,0,24173,2014-01-01,2014-01-01,2014,2014-01-01,2014-12-31,2014-12-31,,,"University, college or other teaching institution, research institute or think-tank",BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,56382,0,0,56382,2007-04-01,2007-04-01,2007,2007-04-01,2010-03-31,2010-03-31,2010-03-31,2010-03-31,Donor country-based NGO,BD,Bangladesh,Post-completion,"Bilateral, core contributions to NGOs and other private bodies / PPPs",Project-type interventions
GB,GBP,172594,0,0,172594,2007-04-01,2007-04-01,2007,2007-04-01,2010-03-31,2010-03-31,2010-03-31,2010-03-31,Donor country-based NGO,BD,Bangladesh,Post-completion,"Bilateral, core contributions to NGOs and other private bodies / PPPs",Project-type interventions
GB,GBP,7498883,0,0,7498883,2008-03-01,2008-03-01,2008,2008-03-01,2009-09-30,2009-09-30,2009-09-30,2009-09-30,United Nations Development Programme,BD,Bangladesh,Post-completion,Bilateral,Project-type interventions
GB,GBP,7257538,0,0,7257536,2008-04-01,2008-04-01,2008,2008-04-01,2011-03-31,2011-03-31,2011-03-31,2011-03-31,NON-GOVERNMENTAL ORGANISATIONS (NGOs) AND CIVIL SOCIETY,BD,Bangladesh,Post-completion,"Bilateral, core contributions to NGOs and other private bodies / PPPs",Project-type interventions
GB,GBP,40839,0,0,40838,2008-04-01,2008-04-01,2008,2008-04-01,2011-03-31,2011-03-31,2011-03-31,2011-03-31,Other.,BD,Bangladesh,Post-completion,Bilateral,Project-type interventions
GB,GBP,9901621,7666790,0,2234831,2008-04-01,2008-04-01,2008,2008-04-01,2012-02-29,2012-02-29,2012-02-29,2012-02-29,Donor country-based NGO,BD,Bangladesh,Post-completion,"Bilateral, core contributions to NGOs and other private bodies / PPPs",Project-type interventions
GB,GBP,3700000,2400000,0,1300000,2008-04-01,2008-04-01,2008,2008-04-01,2012-02-29,2012-02-29,2012-02-29,2012-02-29,Donor country-based NGO,BD,Bangladesh,Post-completion,"Bilateral, core contributions to NGOs and other private bodies / PPPs",Project-type interventions
GB,GBP,8593580,0,0,8593580,2008-07-01,2008-07-01,2008,2008-07-01,2013-03-31,2013-03-31,2013-03-31,2013-03-31,NON-GOVERNMENTAL ORGANISATIONS (NGOs) AND CIVIL SOCIETY,BD,Bangladesh,Post-completion,"Bilateral, core contributions to NGOs and other private bodies / PPPs",Project-type interventions
